ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001013,TPS 013,null,null,null,29,116,56,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/2515/pemilu/ppwp/34/04/06/20/01/3404062001013-20240215-200242--e71c5463-2418-4905-90b8-fe07cc78053c.jpg,https://sirekap-obj-formc.kpu.go.id/2515/pemilu/ppwp/34/04/06/20/01/3404062001013-20240214-200108--717b8a20-f51d-4711-9721-3ce073397387.jpg,https://sirekap-obj-formc.kpu.go.id/2515/pemilu/ppwp/34/04/06/20/01/3404062001013-20240214-200124--929a1626-40d3-4368-9747-fc9a34939005.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001014,TPS 014,null,null,null,null,null,null,null,null,null,PROCESS,https://sirekap-obj-formc.kpu.go.id/b8e5/pemilu/ppwp/34/04/06/20/01/3404062001014-20240215-010315--c0ddffd2-ce15-45af-a354-5f244a9ec304.jpg,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001015,TPS 015,null,null,null,35,82,78,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/8bac/pemilu/ppwp/34/04/06/20/01/3404062001015-20240214-225358--4a9537b3-c252-4eae-b86b-1eb80d624ffc.jpg,https://sirekap-obj-formc.kpu.go.id/8bac/pemilu/ppwp/34/04/06/20/01/3404062001015-20240214-225622--b838671c-f1a8-4647-9226-c37470e17b3e.jpg,https://sirekap-obj-formc.kpu.go.id/8bac/pemilu/ppwp/34/04/06/20/01/3404062001015-20240214-225808--0809e58d-da7f-4a62-87c4-759190e3a4e5.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001016,TPS 016,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001017,TPS 017,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001018,TPS 018,null,null,null,56,116,59,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/5146/pemilu/ppwp/34/04/06/20/01/3404062001018-20240216-174010--d8fba2bb-601e-4448-94b3-3854bcfbd9b4.jpg,https://sirekap-obj-formc.kpu.go.id/5146/pemilu/ppwp/34/04/06/20/01/3404062001018-20240216-174013--169d65f2-ffe0-4c8e-9ce5-8c201abcf183.jpg,https://sirekap-obj-formc.kpu.go.id/5146/pemilu/ppwp/34/04/06/20/01/3404062001018-20240217-114000--97a9a3a2-48a3-4266-b439-ba9070de5378.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001019,TPS 019,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001020,TPS 020,156,5,8,28,71,40,139,3,142,VALID,https://sirekap-obj-formc.kpu.go.id/f7b4/pemilu/ppwp/34/04/06/20/01/3404062001020-20240214-215012--f45a19af-5ba1-4b08-9e24-040c98b18ba8.jpg,https://sirekap-obj-formc.kpu.go.id/f7b4/pemilu/ppwp/34/04/06/20/01/3404062001020-20240214-215016--a25a8e6c-219d-4176-bc45-4d37b4915dc2.jpg,https://sirekap-obj-formc.kpu.go.id/f7b4/pemilu/ppwp/34/04/06/20/01/3404062001020-20240214-215022--6166ab63-5e62-47a1-8789-4ff40435d40e.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001021,TPS 021,212,6,3,44,88,61,193,5,198,VALID,https://sirekap-obj-formc.kpu.go.id/0d7a/pemilu/ppwp/34/04/06/20/01/3404062001021-20240216-134442--67c93753-28a9-4ebb-92ef-7aa4d1e7387f.jpg,https://sirekap-obj-formc.kpu.go.id/0d7a/pemilu/ppwp/34/04/06/20/01/3404062001021-20240216-134443--6d8b9a6c-adaf-49ef-a3dd-0d8f6405fdb6.jpg,https://sirekap-obj-formc.kpu.go.id/0d7a/pemilu/ppwp/34/04/06/20/01/3404062001021-20240216-134443--c37042a7-8632-4e8d-8d29-fc432d0490f9.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001022,TPS 022,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001023,TPS 023,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001024,TPS 024,230,10,1,41,92,78,211,4,215,VALID,https://sirekap-obj-formc.kpu.go.id/496f/pemilu/ppwp/34/04/06/20/01/3404062001024-20240216-100450--d7a6f1f5-b004-45bf-924f-020aeb8a9628.jpg,https://sirekap-obj-formc.kpu.go.id/496f/pemilu/ppwp/34/04/06/20/01/3404062001024-20240216-100452--9f6fc37c-914b-432e-a651-f037c89c601c.jpg,https://sirekap-obj-formc.kpu.go.id/496f/pemilu/ppwp/34/04/06/20/01/3404062001024-20240216-100451--4fc260fd-8522-465a-8ab3-06b2cd24e3c4.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001025,TPS 025,null,null,null,51,87,73,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/1dc7/pemilu/ppwp/34/04/06/20/01/3404062001025-20240214-225733--d5085a5d-8a23-474d-9c0a-168ac4bed8d3.jpg,https://sirekap-obj-formc.kpu.go.id/1dc7/pemilu/ppwp/34/04/06/20/01/3404062001025-20240214-230039--2f9ddbdc-fac7-490b-9ff3-650365735c2f.jpg,https://sirekap-obj-formc.kpu.go.id/1dc7/pemilu/ppwp/34/04/06/20/01/3404062001025-20240214-230229--1164fa14-9b6c-4ced-a7c0-2ac2ecf0cfcb.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001026,TPS 026,null,null,null,51,100,58,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/1858/pemilu/ppwp/34/04/06/20/01/3404062001026-20240214-230740--136b3133-77f2-47fb-9daa-625de020d293.jpg,https://sirekap-obj-formc.kpu.go.id/1858/pemilu/ppwp/34/04/06/20/01/3404062001026-20240214-231006--94ddc40d-9c34-4eab-9a4b-b4f6e8ff3385.jpg,https://sirekap-obj-formc.kpu.go.id/1858/pemilu/ppwp/34/04/06/20/01/3404062001026-20240214-231055--c881ce23-cb07-4d4c-ac92-e617ef2c773c.jpg
