ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001053,TPS 053,230,3,3,44,84,81,209,3,212,VALID,https://sirekap-obj-formc.kpu.go.id/5f8a/pemilu/ppwp/34/04/07/20/01/3404072001053-20240215-000040--e61dd609-3fca-4c63-b421-10dd4595e9f3.jpg,https://sirekap-obj-formc.kpu.go.id/5f8a/pemilu/ppwp/34/04/07/20/01/3404072001053-20240216-023442--0ef3dd8d-e803-4f55-94fc-0cc09a2d462e.jpg,https://sirekap-obj-formc.kpu.go.id/5f8a/pemilu/ppwp/34/04/07/20/01/3404072001053-20240215-000219--94b7b359-5bf0-494c-a179-f2c44d969909.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001054,TPS 054,281,8,2,55,93,83,231,4,235,VALID,https://sirekap-obj-formc.kpu.go.id/99c5/pemilu/ppwp/34/04/07/20/01/3404072001054-20240214-233730--97cdb88c-16f4-414a-b414-82622049d9c5.jpg,https://sirekap-obj-formc.kpu.go.id/99c5/pemilu/ppwp/34/04/07/20/01/3404072001054-20240214-233917--feadd2e0-1191-42d6-8357-7fc7cfeff43d.jpg,https://sirekap-obj-formc.kpu.go.id/99c5/pemilu/ppwp/34/04/07/20/01/3404072001054-20240215-145937--84aaff09-45ea-441f-9902-9f16cafeafaa.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001055,TPS 055,0,0,0,52,96,88,236,4,240,VALID,https://sirekap-obj-formc.kpu.go.id/61b8/pemilu/ppwp/34/04/07/20/01/3404072001055-20240216-231637--d9c8c0cb-a97d-4e04-a871-52ae5415914a.jpg,https://sirekap-obj-formc.kpu.go.id/61b8/pemilu/ppwp/34/04/07/20/01/3404072001055-20240216-231639--27b1ad5e-29cc-4f49-a166-b0f2af08f2e9.jpg,https://sirekap-obj-formc.kpu.go.id/61b8/pemilu/ppwp/34/04/07/20/01/3404072001055-20240216-231638--c6656f97-49be-4337-8003-84fb2f485bfd.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001056,TPS 056,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001057,TPS 057,null,null,null,65,77,103,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/5766/pemilu/ppwp/34/04/07/20/01/3404072001057-20240215-022640--f202278a-da15-46e1-a47f-81a45033ca39.jpg,https://sirekap-obj-formc.kpu.go.id/5766/pemilu/ppwp/34/04/07/20/01/3404072001057-20240215-022023--81959071-7efe-4052-b948-71a1718ab318.jpg,https://sirekap-obj-formc.kpu.go.id/5766/pemilu/ppwp/34/04/07/20/01/3404072001057-20240215-022108--d437aeb9-3f88-4a5f-8dcd-e15d58985195.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001058,TPS 058,284,7,2,68,111,78,257,2,259,VALID,https://sirekap-obj-formc.kpu.go.id/7a59/pemilu/ppwp/34/04/07/20/01/3404072001058-20240214-193342--2b679ed4-ddb6-4564-a445-112355a341db.jpg,https://sirekap-obj-formc.kpu.go.id/7a59/pemilu/ppwp/34/04/07/20/01/3404072001058-20240214-155348--dc5818f5-7b8d-4b78-a615-40bb7a113352.jpg,https://sirekap-obj-formc.kpu.go.id/7a59/pemilu/ppwp/34/04/07/20/01/3404072001058-20240214-155419--95e59058-17ee-48a9-acf8-5abcf7a86b8f.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001059,TPS 059,null,null,null,null,null,null,null,null,null,PROCESS,null,https://sirekap-obj-formc.kpu.go.id/d631/pemilu/ppwp/34/04/07/20/01/3404072001059-20240217-122341--016a9c09-9f17-41ba-815f-aff3094f60d9.jpg,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001060,TPS 060,null,null,null,31,131,83,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/d7b0/pemilu/ppwp/34/04/07/20/01/3404072001060-20240214-155738--642762dc-e238-477a-b95a-6f680581a5b1.jpg,https://sirekap-obj-formc.kpu.go.id/d7b0/pemilu/ppwp/34/04/07/20/01/3404072001060-20240214-160116--48070171-6655-44b2-964a-48313de226ab.jpg,https://sirekap-obj-formc.kpu.go.id/d7b0/pemilu/ppwp/34/04/07/20/01/3404072001060-20240214-160131--17e27594-6796-4c19-ae1e-5274c79ca78d.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001061,TPS 061,272,12,5,30,103,100,233,2,235,VALID,https://sirekap-obj-formc.kpu.go.id/b4c9/pemilu/ppwp/34/04/07/20/01/3404072001061-20240215-233927--844e0aa7-cc0d-40f4-9344-3445fe58e4ac.jpg,https://sirekap-obj-formc.kpu.go.id/b4c9/pemilu/ppwp/34/04/07/20/01/3404072001061-20240215-233931--348482bd-70e4-4f4f-a5a0-d3d6b0373154.jpg,https://sirekap-obj-formc.kpu.go.id/b4c9/pemilu/ppwp/34/04/07/20/01/3404072001061-20240215-233929--4abc5524-576b-4cea-8620-b78c226c144e.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340407,DEPOK,3404072001,CATURTUNGGAL,3404072001062,TPS 062,null,null,null,58,73,81,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/4fbe/pemilu/ppwp/34/04/07/20/01/3404072001062-20240214-184804--987f78e7-7c7d-4052-b6f6-5daae08250f1.jpg,https://sirekap-obj-formc.kpu.go.id/4fbe/pemilu/ppwp/34/04/07/20/01/3404072001062-20240214-184813--cddfa1ea-cd62-448e-b130-d6dfbfe6231f.jpg,https://sirekap-obj-formc.kpu.go.id/4fbe/pemilu/ppwp/34/04/07/20/01/3404072001062-20240214-184818--e9c837e4-bc6c-4f1f-8960-6816ad1be4b4.jpg
